,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
0,@BBC,0.0,Fri Mar 09 19:03:04 +0000 2018,0.0,1.0,0.0,1
1,@BBC,0.5719,Fri Mar 09 18:00:10 +0000 2018,0.0,0.764,0.236,2
2,@BBC,0.0,Fri Mar 09 17:18:55 +0000 2018,0.0,1.0,0.0,3
3,@BBC,0.4939,Fri Mar 09 17:00:10 +0000 2018,0.0,0.656,0.344,4
4,@BBC,0.3818,Fri Mar 09 16:56:32 +0000 2018,0.0,0.874,0.126,5
5,@BBC,0.5848,Fri Mar 09 16:56:13 +0000 2018,0.0,0.807,0.193,6
6,@BBC,0.0,Fri Mar 09 16:53:47 +0000 2018,0.0,1.0,0.0,7
7,@BBC,0.0,Fri Mar 09 16:39:50 +0000 2018,0.0,1.0,0.0,8
8,@BBC,0.4939,Fri Mar 09 14:30:07 +0000 2018,0.0,0.842,0.158,9
9,@BBC,-0.4404,Fri Mar 09 14:00:18 +0000 2018,0.178,0.822,0.0,10
10,@BBC,0.7783,Fri Mar 09 13:30:05 +0000 2018,0.0,0.672,0.328,11
11,@BBC,0.0,Fri Mar 09 12:30:02 +0000 2018,0.0,1.0,0.0,12
12,@BBC,0.0,Fri Mar 09 12:13:43 +0000 2018,0.0,1.0,0.0,13
13,@BBC,0.5719,Fri Mar 09 11:51:14 +0000 2018,0.0,0.684,0.316,14
14,@BBC,0.6114,Fri Mar 09 11:36:57 +0000 2018,0.0,0.637,0.363,15
15,@BBC,0.5859,Fri Mar 09 11:03:23 +0000 2018,0.0,0.863,0.137,16
16,@BBC,0.0,Fri Mar 09 11:00:05 +0000 2018,0.0,1.0,0.0,17
17,@BBC,0.0,Fri Mar 09 10:15:05 +0000 2018,0.0,1.0,0.0,18
18,@BBC,0.4389,Fri Mar 09 09:00:04 +0000 2018,0.0,0.806,0.194,19
19,@BBC,0.0,Fri Mar 09 08:30:08 +0000 2018,0.0,1.0,0.0,20
20,@BBC,0.4404,Fri Mar 09 08:00:05 +0000 2018,0.0,0.734,0.266,21
21,@BBC,0.0,Thu Mar 08 21:28:00 +0000 2018,0.0,1.0,0.0,22
22,@BBC,0.4019,Thu Mar 08 20:33:04 +0000 2018,0.0,0.856,0.144,23
23,@BBC,0.0,Thu Mar 08 20:03:04 +0000 2018,0.0,1.0,0.0,24
24,@BBC,0.0,Thu Mar 08 18:00:06 +0000 2018,0.0,1.0,0.0,25
25,@BBC,-0.1027,Thu Mar 08 17:30:11 +0000 2018,0.177,0.664,0.159,26
26,@BBC,0.0,Thu Mar 08 17:00:09 +0000 2018,0.0,1.0,0.0,27
27,@BBC,0.5719,Thu Mar 08 16:30:05 +0000 2018,0.0,0.764,0.236,28
28,@BBC,0.5803,Thu Mar 08 16:05:42 +0000 2018,0.0,0.819,0.181,29
29,@BBC,0.0,Thu Mar 08 15:30:09 +0000 2018,0.0,1.0,0.0,30
